Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.888638 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.398560 ms
:Kernel 2 TIme: 0.020160 ms
:Kernel 1 Time: 0.394080 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.376000 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.381600 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.384640 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.384160 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.385759 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.389120 ms
:Kernel 2 TIme: 0.020800 ms
:Kernel 1 Time: 0.390880 ms
:Kernel 2 TIme: 0.020160 ms
:Kernel 1 Time: 0.375680 ms
:Kernel 2 TIme: 0.020480 ms
:Kernel 1 Time: 0.378400 ms
:Kernel 2 TIme: 0.020800 ms
:Kernel 1 Time: 0.683840 ms
:Kernel 2 TIme: 0.020160 ms
:Kernel 1 Time: 0.382400 ms
:Kernel 2 TIme: 0.020800 ms
:Kernel 1 Time: 0.384160 ms
:Kernel 2 TIme: 0.020320 ms
:Kernel 1 Time: 0.382080 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.388959 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.389600 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.387200 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.378240 ms
:Kernel 2 TIme: 0.020480 ms
:Kernel 1 Time: 0.380000 ms
:Kernel 2 TIme: 0.020960 ms
:Kernel 1 Time: 0.380960 ms
:Kernel 2 TIme: 0.021280 ms
:Kernel 1 Time: 0.380640 ms
:Kernel 2 TIme: 0.020800 ms
:Kernel 1 Time: 0.369760 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.357120 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.336480 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.340639 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.327520 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.333440 ms
:Kernel 2 TIme: 0.020160 ms
:Kernel 1 Time: 0.332640 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.347040 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.331360 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.336000 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.336640 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.328000 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.329280 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.329760 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.323999 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.330080 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.332640 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.335520 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.335520 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.325440 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.327200 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.321440 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.330080 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.329920 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.338560 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.318559 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.323840 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.323840 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.326560 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.327040 ms
:Kernel 2 TIme: 0.020000 ms
:Kernel 1 Time: 0.327040 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.328480 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.331200 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.332160 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.321760 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.322080 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.321919 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.325760 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.322400 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.326400 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.327200 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.320640 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.319840 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.322240 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.323840 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.322880 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.324480 ms
:Kernel 2 TIme: 0.019840 ms
:Kernel 1 Time: 0.325439 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.327840 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.319040 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.328160 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.319360 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.328960 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.323360 ms
:Kernel 2 TIme: 0.019360 ms
:Kernel 1 Time: 0.322400 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.323520 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.324320 ms
:Kernel 2 TIme: 0.019040 ms
:Kernel 1 Time: 0.315040 ms
:Kernel 2 TIme: 0.019520 ms
:Kernel 1 Time: 0.319039 ms
:Kernel 2 TIme: 0.018880 ms
:Kernel 1 Time: 0.324320 ms
:Kernel 2 TIme: 0.019680 ms
:Kernel 1 Time: 0.326720 ms
:Kernel 2 TIme: 0.019200 ms
:Kernel 1 Time: 0.327520 ms
