Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.984795 ms
Kernel 2 TIme: 0.018400 ms
Kernel 1 Time: 0.394879 ms
Kernel 2 TIme: 0.019359 ms
Kernel 1 Time: 0.389759 ms
Kernel 2 TIme: 0.018719 ms
Kernel 1 Time: 0.391039 ms
Kernel 2 TIme: 0.019039 ms
Kernel 1 Time: 0.387999 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.379039 ms
Kernel 2 TIme: 0.018879 ms
Kernel 1 Time: 0.379999 ms
Kernel 2 TIme: 0.019199 ms
Kernel 1 Time: 0.379039 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.381759 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.396159 ms
Kernel 2 TIme: 0.020320 ms
Kernel 1 Time: 0.384319 ms
Kernel 2 TIme: 0.020960 ms
Kernel 1 Time: 0.386559 ms
Kernel 2 TIme: 0.020320 ms
Kernel 1 Time: 0.382399 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.384639 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.374079 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.388159 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.381759 ms
Kernel 2 TIme: 0.022080 ms
Kernel 1 Time: 0.381759 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.394079 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.370239 ms
Kernel 2 TIme: 0.020800 ms
Kernel 1 Time: 0.368479 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.351198 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.346718 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.334079 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.335359 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.335679 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.337438 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.329598 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.336319 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.323519 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.336158 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.326718 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.330399 ms
Kernel 2 TIme: 0.020799 ms
Kernel 1 Time: 0.332319 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.330879 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.334398 ms
Kernel 2 TIme: 0.019520 ms
