Opening file: pannotia/dataset/color/ecology1.graph
This is an undirected graph
Read from file: num_nodes = 1000000, num_edges = 3996000
Kernel 1 Time: 0.644638 ms
Kernel 2 TIme: 0.041600 ms
Kernel 1 Time: 0.210879 ms
Kernel 2 TIme: 0.041440 ms
Kernel 1 Time: 0.163840 ms
Kernel 2 TIme: 0.041120 ms
Kernel 1 Time: 0.150880 ms
Kernel 2 TIme: 0.041600 ms
Kernel 1 Time: 0.127199 ms
Kernel 2 TIme: 0.040480 ms
Kernel 1 Time: 0.096960 ms
Kernel 2 TIme: 0.039360 ms
Kernel 1 Time: 0.070560 ms
Kernel 2 TIme: 0.040000 ms
Kernel 1 Time: 0.054560 ms
Kernel 2 TIme: 0.031360 ms
Kernel 1 Time: 0.041600 ms
Kernel 2 TIme: 0.032000 ms
Kernel 1 Time: 0.034880 ms
Kernel 2 TIme: 0.031520 ms
Kernel 1 Time: 0.033440 ms
Kernel 2 TIme: 0.031360 ms
Kernel 1 Time: 0.032640 ms
Kernel 2 TIme: 0.031040 ms
Kernel 1 Time: 0.031840 ms
Kernel 2 TIme: 0.030720 ms
Kernel 1 Time: 0.029920 ms
Kernel 2 TIme: 0.030880 ms
total number of colors used: 15
