Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.390718 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.399840 ms
Kernel 2 TIme: 0.018720 ms
Kernel 1 Time: 0.375520 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.388480 ms
Kernel 2 TIme: 0.018560 ms
Kernel 1 Time: 0.386880 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.382400 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.379359 ms
Kernel 2 TIme: 0.018400 ms
Kernel 1 Time: 0.384640 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.388800 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.371520 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.379680 ms
Kernel 2 TIme: 0.021120 ms
Kernel 1 Time: 0.372960 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.370720 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.372960 ms
Kernel 2 TIme: 0.020319 ms
Kernel 1 Time: 0.373920 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.377280 ms
Kernel 2 TIme: 0.020480 ms
Kernel 1 Time: 0.378720 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.373120 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.373920 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.365920 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.374240 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.369919 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.374720 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.349120 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.338720 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.325600 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.323840 ms
Kernel 2 TIme: 0.018240 ms
Kernel 1 Time: 0.331520 ms
Kernel 2 TIme: 0.018560 ms
Kernel 1 Time: 0.320160 ms
Kernel 2 TIme: 0.018560 ms
Kernel 1 Time: 0.320319 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.322720 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.322880 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.328960 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.321920 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.321280 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.328160 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.317920 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.318560 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.320479 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.319040 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.323840 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.323040 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.322240 ms
Kernel 2 TIme: 0.018400 ms
Kernel 1 Time: 0.317600 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.325600 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.319520 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.327200 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.315200 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.316480 ms
Kernel 2 TIme: 0.018400 ms
Kernel 1 Time: 0.317440 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.322720 ms
Kernel 2 TIme: 0.018720 ms
Kernel 1 Time: 0.319200 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.311200 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.311200 ms
Kernel 2 TIme: 0.018720 ms
Kernel 1 Time: 0.318080 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.308319 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.312800 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.312640 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.318080 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.317120 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.322560 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.324960 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.316000 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.316640 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.318879 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.316320 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.317280 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.312160 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.314400 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.315840 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.310560 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.312320 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.311840 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.309760 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.310400 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.311360 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.313440 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.302400 ms
Kernel 2 TIme: 0.019040 ms
Kernel 1 Time: 0.308800 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.307200 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.305920 ms
Kernel 2 TIme: 0.018880 ms
Kernel 1 Time: 0.308160 ms
Kernel 2 TIme: 0.019199 ms
Kernel 1 Time: 0.306240 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.307520 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.300960 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.300800 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.302240 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.304960 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.304960 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.304640 ms
Kernel 2 TIme: 0.018720 ms
