Kernel,Real GPU(ms)
Kernel FloydWarshall,0.594077
Kernel FloydWarshall,0.13376
Kernel FloydWarshall,0.13744
Kernel FloydWarshall,0.170719
Kernel FloydWarshall,0.148
Kernel FloydWarshall,0.14944
Kernel FloydWarshall,0.145919
Kernel FloydWarshall,0.18416
Kernel FloydWarshall,0.339199
Kernel FloydWarshall,0.24928
Kernel FloydWarshall,0.277919
Kernel FloydWarshall,0.28192
Kernel FloydWarshall,0.153919
Kernel FloydWarshall,0.18784
Kernel FloydWarshall,0.23472
Kernel FloydWarshall,0.199839
Kernel FloydWarshall,0.12688
Kernel FloydWarshall,0.178079
Kernel FloydWarshall,0.12592
Kernel FloydWarshall,0.13696
Kernel FloydWarshall,0.1696
Kernel FloydWarshall,0.20192
Kernel FloydWarshall,0.20864
Kernel FloydWarshall,0.150559
Kernel FloydWarshall,0.14864
Kernel FloydWarshall,0.24736
Kernel FloydWarshall,0.22272
Kernel FloydWarshall,0.21296
Kernel FloydWarshall,0.106399
Kernel FloydWarshall,0.11888
Kernel FloydWarshall,0.14624
Kernel FloydWarshall,0.1088
Kernel FloydWarshall,0.146399
Kernel FloydWarshall,0.1144
Kernel FloydWarshall,0.23856
Kernel FloydWarshall,0.24224
Kernel FloydWarshall,0.14144
Kernel FloydWarshall,0.107679
Kernel FloydWarshall,0.11264
Kernel FloydWarshall,0.18544
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.113599
Kernel FloydWarshall,0.11904
Kernel FloydWarshall,0.12256
Kernel FloydWarshall,0.10656
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.12048
Kernel FloydWarshall,0.126879
Kernel FloydWarshall,0.12336
Kernel FloydWarshall,0.12032
Kernel FloydWarshall,0.11728
Kernel FloydWarshall,0.134879
Kernel FloydWarshall,0.13792
Kernel FloydWarshall,0.18624
Kernel FloydWarshall,0.127999
Kernel FloydWarshall,0.11312
Kernel FloydWarshall,0.13616
Kernel FloydWarshall,0.12832
Kernel FloydWarshall,0.147999
Kernel FloydWarshall,0.11056
Kernel FloydWarshall,0.12064
Kernel FloydWarshall,0.109759
Kernel FloydWarshall,0.10896
Kernel FloydWarshall,0.11952
Kernel FloydWarshall,0.11632
Kernel FloydWarshall,0.149599
Kernel FloydWarshall,0.16048
Kernel FloydWarshall,0.10864
Kernel FloydWarshall,0.110879
Kernel FloydWarshall,0.11152
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.18016
Kernel FloydWarshall,0.132319
Kernel FloydWarshall,0.1168
Kernel FloydWarshall,0.13056
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.12352
Kernel FloydWarshall,0.12272
Kernel FloydWarshall,0.10736
Kernel FloydWarshall,0.127519
Kernel FloydWarshall,0.10544
Kernel FloydWarshall,0.10544
Kernel FloydWarshall,0.11184
Kernel FloydWarshall,0.111679
Kernel FloydWarshall,0.18144
Kernel FloydWarshall,0.10768
Kernel FloydWarshall,0.11584
Kernel FloydWarshall,0.105279
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.1064
Kernel FloydWarshall,0.11584
Kernel FloydWarshall,0.109919
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.10976
Kernel FloydWarshall,0.10496
Kernel FloydWarshall,0.105599
Kernel FloydWarshall,0.17856
Kernel FloydWarshall,0.1064
Kernel FloydWarshall,0.106719
Kernel FloydWarshall,0.11552
Kernel FloydWarshall,0.10496
Kernel FloydWarshall,0.1368
Kernel FloydWarshall,0.107519
Kernel FloydWarshall,0.10896
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.10528
Kernel FloydWarshall,0.110879
Kernel FloydWarshall,0.11424
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.10672
Kernel FloydWarshall,0.109439
Kernel FloydWarshall,0.11392
Kernel FloydWarshall,0.11408
Kernel FloydWarshall,0.12848
Kernel FloydWarshall,0.108479
Kernel FloydWarshall,0.128
Kernel FloydWarshall,0.13568
Kernel FloydWarshall,0.10912
Kernel FloydWarshall,0.109439
Kernel FloydWarshall,0.1096
Kernel FloydWarshall,0.12672
Kernel FloydWarshall,0.132959
Kernel FloydWarshall,0.12016
Kernel FloydWarshall,0.16864
Kernel FloydWarshall,0.14144
Kernel FloydWarshall,0.1096
Kernel FloydWarshall,0.10928
Kernel FloydWarshall,0.10896
Kernel FloydWarshall,0.10848
Kernel FloydWarshall,0.119359
Kernel FloydWarshall,0.10832
Kernel FloydWarshall,0.10848
Kernel FloydWarshall,0.143359
Kernel FloydWarshall,0.10864
Kernel FloydWarshall,0.10992
Kernel FloydWarshall,0.10848
Kernel FloydWarshall,0.128159
Kernel FloydWarshall,0.10768
Kernel FloydWarshall,0.11312
Kernel FloydWarshall,0.12208
Kernel FloydWarshall,0.107679
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.10736
Kernel FloydWarshall,0.10848
Kernel FloydWarshall,0.112159
Kernel FloydWarshall,0.10528
Kernel FloydWarshall,0.10512
Kernel FloydWarshall,0.15904
Kernel FloydWarshall,0.153919
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.10528
Kernel FloydWarshall,0.105919
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.1064
Kernel FloydWarshall,0.10528
Kernel FloydWarshall,0.121919
Kernel FloydWarshall,0.12528
Kernel FloydWarshall,0.12976
Kernel FloydWarshall,0.10656
Kernel FloydWarshall,0.111519
Kernel FloydWarshall,0.10576
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.15056
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.11056
Kernel FloydWarshall,0.10544
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.106079
Kernel FloydWarshall,0.10544
Kernel FloydWarshall,0.10688
Kernel FloydWarshall,0.10656
Kernel FloydWarshall,0.107359
Kernel FloydWarshall,0.10544
Kernel FloydWarshall,0.108
Kernel FloydWarshall,0.12368
Kernel FloydWarshall,0.108959
Kernel FloydWarshall,0.10704
Kernel FloydWarshall,0.12944
Kernel FloydWarshall,0.10832
Kernel FloydWarshall,0.110079
Kernel FloydWarshall,0.10864
Kernel FloydWarshall,0.10768
Kernel FloydWarshall,0.10912
Kernel FloydWarshall,0.119039
Kernel FloydWarshall,0.11008
Kernel FloydWarshall,0.11136
Kernel FloydWarshall,0.10832
Kernel FloydWarshall,0.107999
Kernel FloydWarshall,0.10736
Kernel FloydWarshall,0.10928
Kernel FloydWarshall,0.10832
Kernel FloydWarshall,0.113279
Kernel FloydWarshall,0.13184
Kernel FloydWarshall,0.1088
Kernel FloydWarshall,0.166719
Kernel FloydWarshall,0.10864
Kernel FloydWarshall,0.11616
Kernel FloydWarshall,0.10816
Kernel FloydWarshall,0.108159
Kernel FloydWarshall,0.108
Kernel FloydWarshall,0.10848
Kernel FloydWarshall,0.10928
Kernel FloydWarshall,0.135519
Kernel FloydWarshall,0.10944
Kernel FloydWarshall,0.1072
Kernel FloydWarshall,0.1056
Kernel FloydWarshall,0.110559
Kernel FloydWarshall,0.10832
Kernel FloydWarshall,0.13072
Kernel FloydWarshall,0.14
Kernel FloydWarshall,0.105119
Kernel FloydWarshall,0.10512
Kernel FloydWarshall,0.11104
Kernel FloydWarshall,0.10608
Kernel FloydWarshall,0.107839
