Kernel,Real GPU(ms)
Kernel Initilization,0.4256
Kernel Pagerank1 Iteration 0,2.3504
Kernel Pagerank2 Iteration 0,0.02512
Kernel Pagerank1 Iteration 1,2.31984
Kernel Pagerank2 Iteration 1,0.02512
Kernel Pagerank1 Iteration 2,2.35296
Kernel Pagerank2 Iteration 2,0.02512
Kernel Pagerank1 Iteration 3,2.15728
Kernel Pagerank2 Iteration 3,0.02336
Kernel Pagerank1 Iteration 4,2.01152
Kernel Pagerank2 Iteration 4,0.02368
Kernel Pagerank1 Iteration 5,2.00048
Kernel Pagerank2 Iteration 5,0.02448
Kernel Pagerank1 Iteration 6,2.02352
Kernel Pagerank2 Iteration 6,0.02448
Kernel Pagerank1 Iteration 7,1.98272
Kernel Pagerank2 Iteration 7,0.02384
Kernel Pagerank1 Iteration 8,2.00944
Kernel Pagerank2 Iteration 8,0.02384
Kernel Pagerank1 Iteration 9,2.00992
Kernel Pagerank2 Iteration 9,0.02448
Kernel Pagerank1 Iteration 10,2.0168
Kernel Pagerank2 Iteration 10,0.02432
Kernel Pagerank1 Iteration 11,2.0016
Kernel Pagerank2 Iteration 11,0.024
Kernel Pagerank1 Iteration 12,2.02656
Kernel Pagerank2 Iteration 12,0.024
Kernel Pagerank1 Iteration 13,2.03952
Kernel Pagerank2 Iteration 13,0.02448
Kernel Pagerank1 Iteration 14,1.9944
Kernel Pagerank2 Iteration 14,0.02432
Kernel Pagerank1 Iteration 15,2.0088
Kernel Pagerank2 Iteration 15,0.024
Kernel Pagerank1 Iteration 16,2.00656
Kernel Pagerank2 Iteration 16,0.024
Kernel Pagerank1 Iteration 17,1.97648
Kernel Pagerank2 Iteration 17,0.024
Kernel Pagerank1 Iteration 18,2.00752
Kernel Pagerank2 Iteration 18,0.02416
Kernel Pagerank1 Iteration 19,2.00992
Kernel Pagerank2 Iteration 19,0.02384
