Kernel,Real GPU(ms)
Kernel Initilization,0.405118
Kernel Pagerank1 Iteration 0,2.36432
Kernel Pagerank2 Iteration 0,0.02592
Kernel Pagerank1 Iteration 1,2.32464
Kernel Pagerank2 Iteration 1,0.02592
Kernel Pagerank1 Iteration 2,2.36432
Kernel Pagerank2 Iteration 2,0.02576
Kernel Pagerank1 Iteration 3,2.15744
Kernel Pagerank2 Iteration 3,0.02416
Kernel Pagerank1 Iteration 4,2.03808
Kernel Pagerank2 Iteration 4,0.024
Kernel Pagerank1 Iteration 5,2.00144
Kernel Pagerank2 Iteration 5,0.02448
Kernel Pagerank1 Iteration 6,2.02288
Kernel Pagerank2 Iteration 6,0.02448
Kernel Pagerank1 Iteration 7,2.02032
Kernel Pagerank2 Iteration 7,0.024
Kernel Pagerank1 Iteration 8,2.02048
Kernel Pagerank2 Iteration 8,0.02496
Kernel Pagerank1 Iteration 9,1.98736
Kernel Pagerank2 Iteration 9,0.02464
Kernel Pagerank1 Iteration 10,2.00816
Kernel Pagerank2 Iteration 10,0.02448
Kernel Pagerank1 Iteration 11,2.03744
Kernel Pagerank2 Iteration 11,0.02448
Kernel Pagerank1 Iteration 12,2.0416
Kernel Pagerank2 Iteration 12,0.02512
Kernel Pagerank1 Iteration 13,2.0032
Kernel Pagerank2 Iteration 13,0.02496
Kernel Pagerank1 Iteration 14,2.0344
Kernel Pagerank2 Iteration 14,0.0248
Kernel Pagerank1 Iteration 15,2.00848
Kernel Pagerank2 Iteration 15,0.02496
Kernel Pagerank1 Iteration 16,2.01008
Kernel Pagerank2 Iteration 16,0.02496
Kernel Pagerank1 Iteration 17,2.0048
Kernel Pagerank2 Iteration 17,0.0248
Kernel Pagerank1 Iteration 18,2.01104
Kernel Pagerank2 Iteration 18,0.02464
Kernel Pagerank1 Iteration 19,2.01152
Kernel Pagerank2 Iteration 19,0.02544
