Kernel,Real GPU(ms)
Kernel Initilization,0.421758
Kernel Pagerank1 Iteration 0,2.3624
Kernel Pagerank2 Iteration 0,0.0248
Kernel Pagerank1 Iteration 1,2.31823
Kernel Pagerank2 Iteration 1,0.02512
Kernel Pagerank1 Iteration 2,2.34
Kernel Pagerank2 Iteration 2,0.02496
Kernel Pagerank1 Iteration 3,2.21119
Kernel Pagerank2 Iteration 3,0.02352
Kernel Pagerank1 Iteration 4,2.028
Kernel Pagerank2 Iteration 4,0.02352
Kernel Pagerank1 Iteration 5,2.02384
Kernel Pagerank2 Iteration 5,0.02384
Kernel Pagerank1 Iteration 6,2.0136
Kernel Pagerank2 Iteration 6,0.024
Kernel Pagerank1 Iteration 7,2.00144
Kernel Pagerank2 Iteration 7,0.02336
Kernel Pagerank1 Iteration 8,2.01104
Kernel Pagerank2 Iteration 8,0.02384
Kernel Pagerank1 Iteration 9,2.01984
Kernel Pagerank2 Iteration 9,0.02384
Kernel Pagerank1 Iteration 10,2.00048
Kernel Pagerank2 Iteration 10,0.024
Kernel Pagerank1 Iteration 11,1.99936
Kernel Pagerank2 Iteration 11,0.02416
Kernel Pagerank1 Iteration 12,2.02128
Kernel Pagerank2 Iteration 12,0.02432
Kernel Pagerank1 Iteration 13,2.02672
Kernel Pagerank2 Iteration 13,0.02368
Kernel Pagerank1 Iteration 14,2.00656
Kernel Pagerank2 Iteration 14,0.024
Kernel Pagerank1 Iteration 15,2.01984
Kernel Pagerank2 Iteration 15,0.02432
Kernel Pagerank1 Iteration 16,2.01184
Kernel Pagerank2 Iteration 16,0.02384
Kernel Pagerank1 Iteration 17,1.984
Kernel Pagerank2 Iteration 17,0.02432
Kernel Pagerank1 Iteration 18,2.01408
Kernel Pagerank2 Iteration 18,0.02464
Kernel Pagerank1 Iteration 19,2.00976
Kernel Pagerank2 Iteration 19,0.02416
